timestamps,STATE,CAN2.gnss_pos.Latitude,CAN2.gnss_pos.Longitude,x_coord,y_coord,CAN1.TSC1.EngnRqstdTrqTrqLmt,CAN1.IC1.EngineIntakeManifold1Pressure,CAN1.EEC1.EngineSpeed,CAN1.IC1.EngnIntkMnfld1Tmprtr,CAN1.FD1.FanSpeed,CAN1.VEP1.BatteryPotentialPowerInput1,CAN2.TSC1.EngnRqstdTrqTrqLmt_3,CAN1.EEC3.EnginesDesiredOperatingSpeed,CAN2.TSC1.EngnRqstdTrqTrqLmt_0,CAN1.EEC3.Aftrtrtmnt1ExhstGsMssFlwRt,CAN1.EFLP1.EngineOilPressure1,CAN1.VEP1.KeySwitchBatteryPotential,CAN1.IC1.EngineIntakeAirPressure,CAN1.EEC1.EngineDemandPercentTorque,CAN1.EEC1.ActualEnginePercentTorque,CAN1.EEC2.EnginePercentLoadAtCurrentSpeed,CAN1.EEC3.NominalFrictionPercentTorque,CAN1.EEC1.AtlEngnPrntTrqFrtnl,CAN1.LFE1.EngineInstantaneousFuelEconomy,CAN1.CCVS1.WheelBasedVehicleSpeed,CAN2.gnss_speed.Speed,CAN1.EEC2.AtlMxmmAvllEngnPrntTrq,CAN1.A1SCRDSI1.Atttt1DsExstFdAtDsQtt,CAN1.LFE1.EngineFuelRate,CAN1.FD1.EngineFan1EstimatedPercentSpeed,CAN2.gnss_attitude.Heading,class_label,anomaly_label
2023-10-23 06:51:12,I,45.350954,11.95141,3985687.9738348494,13887961.58386479,39.82176497,16.25959113789658,0.0,61.37456582,0.0,12.92621979,59.0,1000.0,-68.0,0.0,96.29965061,12.92621979,60.400182155009176,3.794263694179091,0.0,0,6.0,0.0,125.4980469,0.0,0.00227596,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:13,I,45.35095428,11.95141,3985687.953007528,13887961.55467083,39.81240181,6.515078101771893,0.0,61.37567808,0.0,12.92629765,59.0,1000.0,-68.0,0.0,96.30054042,12.92629765,1.2726758985593027,4.069544375448012,0.0,0,6.0,0.0,125.4980469,0.0,0.003562435,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:14,I,45.350955,11.95141028,3985687.8788668527,13887961.494286029,39.80303864,87.86766367744916,0.0,61.37679034,0.0,12.92637551,59.0,1000.0,-68.0,0.0,96.30143023,12.92637551,85.632453408762,0.9241819978270149,0.0,0,6.0,0.0,125.4980469,0.0,0.005280284,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:15,I,45.350955,11.951411,3985687.825934766,13887961.53204842,39.79367547,4.67043064068731,0.0,61.37790261,0.0,12.92645337,59.0,1000.0,-68.0,0.0,96.30232004,12.92645337,95.95594551180575,7.545943423926438,0.0,0,6.0,0.0,125.4980469,0.0,0.00629548,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:16,I,45.350955,11.951411,3985687.825934766,13887961.53204842,39.7843123,29.01864497104375,0.0,61.37901487,0.0,12.92653122,59.0,1000.0,-68.0,0.0,96.30320985,12.92653122,81.59722987428165,0.8996040169799124,0.0,0,6.0,0.0,125.4980469,0.0,0.006072546,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:17,I,45.3509553,11.9514113,3985687.78156474,13887961.516503507,39.77494913,37.13476993825423,0.0,61.38012713,0.0,12.92660908,59.0,1000.0,-68.0,0.0,96.30409966,12.92660908,60.70084643215085,8.02802652873275,0.0,0,6.0,0.0,125.4980469,0.0,0.003089737,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:18,I,45.350956,11.951412,3985687.678034682,13887961.480232049,39.76558597,44.95690734231748,0.0,61.3812394,0.0,12.92668694,59.0,1000.0,-68.0,0.0,96.30498947,12.92668694,47.57499819396052,9.452340384588489,0.0,0,6.0,0.0,125.4980469,0.0,0.001,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:19,I,45.350956,11.951412,3985687.678034682,13887961.480232049,39.7562228,62.681806101870905,0.0,61.38235166,0.0,12.9267648,59.0,1000.0,-68.0,0.0,96.30587928,12.9267648,9.6922897357994,0.20382383983510777,0.0,0,6.0,0.0,125.4980469,0.0,0.002100655,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:20,I,45.350956,11.951412,3985687.678034682,13887961.480232049,39.74685963,3.0217632574322257,0.0,61.38346392,0.0,12.92684266,59.0,1000.0,-68.0,0.0,96.30676909,12.92684266,25.28322987318861,4.942754946660285,0.0,0,6.0,0.0,125.4980469,0.0,0.005,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:21,I,45.350956,11.951412,3985687.678034682,13887961.480232049,39.73749646,59.690226150189424,0.0,61.38457619,0.0,12.92692052,59.0,1000.0,-68.0,0.0,96.3076589,12.92692052,87.00754927022982,7.734750344044349,0.0,0,6.0,0.0,125.4980469,0.0,0.004704262,0.0,0.0,0.0,0.0,279.2,I,1
